name,kit,count
OSS_R_B_98_GUITAR_LOOP_ABRA_ARP_Abm.wav_v2,melody,2
OSS_R_B_98_GUITAR_LOOP_ABRA_ARP_Abm.wav_v3,melody,2
OSS_R_B_98_GUITAR_LOOP_ABRA_ARP_Abm.wav,melody,2
OS_DO_134_piano_chords_dirty_trapperjoe_G#m.wav,melody,2
OS_SCE_160_synth_melody_cabin_Fm.wav,melody,2
AB_CT2_AxLi_145_Melodic_Stack_Loop_Twins_A#m.wav,melody,2
OS_DPS_140_808_backburner_Em.wav,bass,2
ABDW2_SVGAR_Stack_Portal_Dabow_Flip_Em_110BPM.wav_v2,melody,2
ABDW2_SVGAR_Stack_Portal_Dabow_Flip_Em_110BPM.wav_v3,melody,2
ABDW2_SVGAR_Stack_Portal_Dabow_Flip_Em_110BPM.wav,melody,2
OS_SCE_150_woodwind_flute_melody_hoping_Bm.wav,melody,4
OS_RND_144_electric_bell_keys_diamond_Dm.wav,melody,2
OS_SCE_140_melodic_songstarter_drivers_F#m.wav,melody,2
OS_RCK_140_melodic_stack_northface_C#m.wav,melody,6
AB_CT2_Zain_Wolf_163_Synth_Stack_Loop_Double_You_D.wav,melody,2
